"teams","homeTeam","awayTeam","homeScore","awayScore"
"NA","North Carolina State","Boston College","28","23"
"NA","Texas-El Paso","North Texas","24","27"
"NA","Ball State","Northern Illinois","16","24"
"NA","Michigan State","Northwestern","19","29"
"NA","Virginia Tech","Notre Dame","23","45"
"NA","Kent State","Ohio","26","27"
"NA","Ohio State","Indiana","49","26"
"NA","Pittsburgh","Syracuse","44","37"
"NA","Boise State","San Diego State","13","19"
"NA","South Carolina","Missouri","37","35"
"NA","Massachusetts","South Florida","42","58"
"NA","Temple","East Carolina","49","6"
"NA","Texas","Oklahoma","48","45"
"NA","Texas A&M","Kentucky","20","14"
"NA","Rice","Texas-San Antonio","3","20"
"NA","Toledo","Bowling Green State","52","36"
"NA","Stanford","Utah","21","40"
"NA","UCLA","Washington","24","31"
"NA","Oregon State","Washington State","37","56"
"NA","West Virginia","Kansas","38","22"
"NA","Western Michigan","Eastern Michigan","27","24"
"NA","Wisconsin","Nebraska","41","24"
"NA","Arkansas State","Appalachian State","9","35"
"NA","Texas State","Georgia Southern","13","15"
"NA","Texas Christian","Texas Tech","14","17"
"NA","San Diego State","Air Force","21","17"
"NA","Tulsa","South Florida","24","25"
"NA","Utah","Arizona","42","10"
"NA","Alabama","Missouri","39","10"
"NA","Rice","Alabama-Birmingham","0","42"
"NA","Army","San Jose State","52","3"
"NA","Central Michigan","Ball State","23","24"
"NA","Nevada","Boise State","27","31"
"NA","Boston College","Louisville","38","20"
"NA","Brigham Young","Hawaii","49","23"
"NA","Buffalo","Akron","24","6"
"NA","Memphis","Central Florida","30","31"
"NA","Charlotte","Western Kentucky","40","14"
"NA","Colorado State","New Mexico","20","18"
"NA","Georgia Tech","Duke","14","28"
"NA","Eastern Michigan","Toledo","28","26"
"NA","Vanderbilt","Florida","27","37"
"NA","Florida International","Middle Tennessee State","24","21"
"NA","Fresno State","Wyoming","27","3"
"NA","East Carolina","Houston","20","42"
"NA","Indiana","Iowa","16","42"
"NA","Iowa State","West Virginia","30","14"
"NA","Kansas State","Oklahoma State","31","12"
"NA","Louisiana","New Mexico State","66","38"
"NA","Louisiana State","Georgia","36","16"
"NA","Texas-San Antonio","Louisiana Tech","3","31"
"NA","Coastal Carolina","Louisiana-Monroe","20","45"
"NA","Old Dominion","Marshall","20","42"
"NA","Maryland","Rutgers","34","7"
"NA","Miami (OH)","Kent State","31","6"
"NA","Michigan","Wisconsin","38","13"
"NA","Penn State","Michigan State","17","21"
"NA","Arkansas","Mississippi","33","37"
"NA","North Texas","Southern Mississippi","30","7"
"NA","Northern Illinois","Ohio","24","21"
"NA","Northwestern","Nebraska","34","31"
"NA","Notre Dame","Pittsburgh","19","14"
"NA","Ohio State","Minnesota","30","14"
"NA","Oregon","Washington","30","27"
"NA","Illinois","Purdue","7","46"
"NA","South Alabama","Alabama State","45","7"
"NA","Southern California","Colorado","31","20"
"NA","Navy","Temple","17","24"
"NA","Auburn","Tennessee","24","30"
"NA","Texas","Baylor","23","17"
"NA","South Carolina","Texas A&M","23","26"
"NA","California","UCLA","7","37"
"NA","Utah State","Nevada-Las Vegas","59","28"
"NA","Virginia","Miami (FL)","16","13"
"NA","North Carolina","Virginia Tech","19","22"
"NA","Bowling Green State","Western Michigan","35","42"
"NA","Arkansas State","Georgia State","51","35"
"NA","Arizona State","Stanford","13","20"
"NA","Nevada-Las Vegas","Air Force","35","41"
"NA","Boise State","Colorado State","56","28"
"NA","Kent State","Akron","23","24"
"NA","Tennessee","Alabama","21","58"
"NA","Alabama-Birmingham","North Texas","29","21"
"NA","Appalachian State","Louisiana","27","17"
"NA","Arkansas","Tulsa","23","0"
"NA","Army","Miami (OH)","31","30"
"NA","Mississippi","Auburn","16","31"
"NA","Toledo","Buffalo","17","31"
"NA","Oregon State","California","7","49"
"NA","East Carolina","Central Florida","10","37"
"NA","Clemson","North Carolina State","41","7"
"NA","Massachusetts","Coastal Carolina","13","24"
"NA","Ball State","Eastern Michigan","20","42"
"NA","Florida International","Rice","36","17"
"NA","Florida State","Wake Forest","38","17"
"NA","New Mexico","Fresno State","7","38"
"NA","New Mexico State","Georgia Southern","31","48"
"NA","Navy","Houston","36","49"
"NA","Iowa","Maryland","23","0"
"NA","Kentucky","Vanderbilt","14","7"
"NA","Louisiana State","Mississippi State","19","3"
"NA","Louisiana Tech","Texas-El Paso","31","24"
"NA","Louisiana-Monroe","Texas State","20","14"
"NA","Marshall","Florida Atlantic","31","7"
"NA","Michigan State","Michigan","7","21"
"NA","Middle Tennessee State","Charlotte","21","13"
"NA","Missouri","Memphis","65","33"
"NA","Nebraska","Minnesota","53","28"
"NA","Hawaii","Nevada","22","40"
"NA","Rutgers","Northwestern","15","18"
"NA","Ohio","Bowling Green State","49","14"
"NA","Texas Christian","Oklahoma","27","52"
"NA","Western Kentucky","Old Dominion","34","37"
"NA","Indiana","Penn State","28","33"
"NA","Purdue","Ohio State","49","20"
"NA","San Diego State","San Jose State","16","13"
"NA","South Florida","Connecticut","38","30"
"NA","Tulane","Southern Methodist","23","27"
"NA","Southern Mississippi","Texas-San Antonio","27","17"
"NA","Syracuse","North Carolina","40","37"
"NA","Temple","Cincinnati","24","17"
"NA","Texas Tech","Kansas","48","16"
"NA","UCLA","Arizona","31","30"
"NA","Utah","Southern California","41","28"
"NA","Wyoming","Utah State","16","24"
"NA","Duke","Virginia","14","28"
"NA","Washington","Colorado","27","13"
"NA","Washington State","Oregon","34","20"
"NA","Central Michigan","Western Michigan","10","35"
"NA","Wisconsin","Illinois","49","20"
"NA","South Alabama","Troy","17","38"
"NA","Georgia Southern","Appalachian State","34","14"
"NA","Virginia Tech","Georgia Tech","28","49"
"NA","Ohio","Ball State","52","14"
"NA","Western Michigan","Toledo","24","51"
"NA","West Virginia","Baylor","58","14"
"NA","Boston College","Miami (FL)","27","14"
"NA","Minnesota","Indiana","38","31"
"NA","UCLA","Utah","10","41"
"NA","Colorado State","Wyoming","21","34"
"NA","Akron","Central Michigan","17","10"
"NA","Texas-El Paso","Alabama-Birmingham","0","19"
"NA","Arizona","Oregon","44","15"
"NA","Southern California","Arizona State","35","38"
"NA","Eastern Michigan","Army","22","37"
"NA","Air Force","Boise State","38","48"
"NA","California","Washington","12","10"
"NA","Charlotte","Southern Mississippi","20","17"
"NA","Southern Methodist","Cincinnati","20","26"
"NA","Florida State","Clemson","10","59"
"NA","Georgia State","Coastal Carolina","34","37"
"NA","Western Kentucky","Florida International","17","38"
"NA","Fresno State","Hawaii","50","20"
"NA","Georgia","Florida","36","17"
"NA","Houston","South Florida","57","36"
"NA","Iowa State","Texas Tech","40","31"
"NA","Kansas","Texas Christian","27","26"
"NA","Missouri","Kentucky","14","15"
"NA","Louisiana","Arkansas State","47","43"
"NA","Florida Atlantic","Louisiana Tech","13","21"
"NA","Maryland","Illinois","63","33"
"NA","Connecticut","Massachusetts","17","22"
"NA","Michigan State","Purdue","23","13"
"NA","Old Dominion","Middle Tennessee State","17","51"
"NA","Mississippi State","Texas A&M","28","13"
"NA","Nevada","San Diego State","28","24"
"NA","North Texas","Rice","41","17"
"NA","Brigham Young","Northern Illinois","6","7"
"NA","Northwestern","Wisconsin","31","17"
"NA","Notre Dame","Navy","44","22"
"NA","Oklahoma","Kansas State","51","14"
"NA","Oklahoma State","Texas","38","35"
"NA","Colorado","Oregon State","34","41"
"NA","Penn State","Iowa","30","24"
"NA","Pittsburgh","Duke","54","45"
"NA","San Jose State","Nevada-Las Vegas","50","37"
"NA","South Carolina","Tennessee","27","24"
"NA","Syracuse","North Carolina State","51","41"
"NA","Texas State","New Mexico State","27","20"
"NA","Tulsa","Tulane","17","24"
"NA","Utah State","New Mexico","61","19"
"NA","Arkansas","Vanderbilt","31","45"
"NA","Virginia","North Carolina","31","21"
"NA","Louisville","Wake Forest","35","56"
"NA","Stanford","Washington State","38","41"
"NA","Buffalo","Miami (OH)","51","42"
"NA","Bowling Green State","Kent State","28","35"
"NA","Toledo","Ball State","45","13"
